method,method_key,avg_ev,avg_la,avg_xba,avg_xwoba,hard_hit_rate,barrel_rate,ba,obp,slg,ops
Context baseline,context,1.95,3.85,0.035,0.049,0.054,0.028,0.040,0.046,0.073,0.109
Structured sequence deterministic,structured_sequence,5.87,4.01,0.205,0.308,0.238,0.166,0.027,0.032,0.062,0.088
Detection/Tracking/Pose TCN,pose_object_tcn,5.17,5.42,0.176,0.138,0.079,0.076,0.026,0.031,0.061,0.085
Raw video lightweight,raw_video_lightweight,88.09,12.90,0.230,0.301,0.128,0.443,0.026,0.031,0.061,0.085
Raw video frozen encoder,raw_video_frozen,6.53,7.35,0.177,0.253,0.196,0.114,0.026,0.030,0.060,0.083
Raw video DNN fine-tune,raw_video_finetune,11.36,12.26,0.178,0.334,0.265,0.209,0.026,0.031,0.059,0.083
Player-season mechanics prior,player_season,2.93,5.37,0.040,0.058,0.087,0.044,0.046,0.051,0.091,0.132
VLM mechanics features,vlm,5.63,4.28,0.242,0.379,0.175,0.202,0.021,0.028,0.058,0.073
Late fusion,fusion,3.20,4.36,0.045,0.056,0.067,0.041,0.041,0.047,0.077,0.114
