target,sample_id,split,y_true,y_pred,abs_error,caption
LA,game744824_ab28_p2_no_play_id__game744824_ab28_p2_no_play_id_statsapi_view1__pre,train,-58.00,11.88,69.88,"The batter demonstrates a balanced and efficient swing, utilizing a fast load and early contact timing to generate power."
EV,game744824_ab28_p2_no_play_id__game744824_ab28_p2_no_play_id_statsapi_view1__pre,train,29.50,93.81,64.31,"The batter demonstrates a balanced and efficient swing, utilizing a fast load and early contact timing to generate power."
EV,game744798_ab41_p1_no_play_id__game744798_ab41_p1_no_play_id_statsapi_view1__pre,validation,34.20,93.88,59.68,"The batter demonstrates a balanced and efficient swing, with early contact timing and good hip rotation."
LA,game744822_ab20_p9_no_play_id__game744822_ab20_p9_no_play_id_statsapi_view1__pre,train,-48.00,10.79,58.79,"The batter demonstrates a powerful and precise swing, utilizing an open stance, fast load, short stride, and early contact timing to generate significant bat speed."
LA,game744798_ab41_p1_no_play_id__game744798_ab41_p1_no_play_id_statsapi_view1__pre,validation,-46.00,11.91,57.91,"The batter demonstrates a balanced and efficient swing, with early contact timing and good hip rotation."
EV,game744825_ab65_p6_no_play_id__game744825_ab65_p6_no_play_id_statsapi_view1__pre,validation,45.70,91.80,46.10,"The batter demonstrates a powerful and precise swing, utilizing an open stance, fast load, short stride, and early contact timing to generate significant bat speed."
xwOBA,game744826_ab59_p2_no_play_id__game744826_ab59_p2_no_play_id_statsapi_view1__pre,train,2.000,0.758,1.242,"The batter demonstrates a balanced and efficient swing with an early contact timing, showcasing good hip rotation and a straight bat path."
xwOBA,game744801_ab40_p2_no_play_id__game744801_ab40_p2_no_play_id_statsapi_view1__pre,test,2.000,0.762,1.238,"The batter demonstrates a balanced and efficient swing, with early contact timing and good hip rotation."
xwOBA,game744801_ab61_p3_no_play_id__game744801_ab61_p3_no_play_id_statsapi_view2__pre,test,1.885,0.697,1.187,"The batter demonstrates a powerful and precise swing, utilizing an open stance, fast load, short stride, and a straight bat path to achieve early contact."
Barrel,game744812_ab25_p2_no_play_id__game744812_ab25_p2_no_play_id_statsapi_view1__pre,train,1.000,0.180,0.820,"The batter demonstrates a powerful and precise swing, utilizing an open stance, fast load, short stride, and early contact timing to generate significant bat speed."
Barrel,game744807_ab30_p1_no_play_id__game744807_ab30_p1_no_play_id_statsapi_view1__pre,train,1.000,0.180,0.820,"The batter demonstrates a powerful and precise swing, utilizing an open stance, fast load, short stride, and early contact timing to generate significant bat speed."
Barrel,game744807_ab76_p4_no_play_id__game744807_ab76_p4_no_play_id_statsapi_view2__pre,train,1.000,0.181,0.819,"The batter demonstrates a powerful and precise swing, utilizing an open stance, fast load, short stride, and early contact timing to generate maximum bat speed."
Hard-hit,game744798_ab47_p2_no_play_id__game744798_ab47_p2_no_play_id_statsapi_view1__pre,train,0.000,0.678,0.678,"The batter demonstrates a powerful and efficient swing, utilizing a fast load and short stride to generate maximum bat speed and contact timing."
Hard-hit,game744798_ab32_p2_no_play_id__game744798_ab32_p2_no_play_id_statsapi_view1__pre,train,0.000,0.678,0.678,"The batter demonstrates a powerful and efficient swing, utilizing a fast load and short stride to generate maximum bat speed and contact timing."
Hard-hit,game744815_ab61_p1_no_play_id__game744815_ab61_p1_no_play_id_statsapi_view1__pre,train,0.000,0.678,0.678,"The batter demonstrates a powerful and efficient swing, utilizing a fast load and short stride to generate maximum bat speed and contact timing."
xBA,game744806_ab27_p3_no_play_id__game744806_ab27_p3_no_play_id_statsapi_view1__pre,train,0.079,0.580,0.501,"The batter demonstrates a balanced and efficient swing, utilizing a fast load and early contact timing to maintain good balance and hip rotation."
xBA,game744807_ab19_p1_no_play_id__game744807_ab19_p1_no_play_id_statsapi_view2__pre,train,0.063,0.547,0.484,"The batter demonstrates a balanced and efficient swing, with early contact timing and good hip rotation."
xBA,game744816_ab84_p2_no_play_id__game744816_ab84_p2_no_play_id_statsapi_view1__pre,train,0.077,0.549,0.472,"The batter demonstrates a powerful and efficient swing, utilizing a fast load and short stride to generate early contact timing."
